hominum,rdnumber,CaseNumber,Date2,year,trac2000,location,locatinr,LocationDescription,ArrestD,DomesticD,gridid,X_MetCent,Y_MetCent,All_Inside,YearFive,Population
65001,D001077, ,,1965,291400,2100,9, ,1,0,37411,352140.973255,576772.757678,1,1965 to 1969,3550404.0
65002,D001649, ,,1965,381800,1101,1, ,1,0,28140,359490.973255,570772.757678,1,1965 to 1969,3550404.0
65003,D002579, ,,1965,282700,1101,1, ,1,0,39750,353490.973255,578272.757678,1,1965 to 1969,3550404.0
65004,D002661, ,,1965,271400,1202,5, ,1,0,40203,351540.973255,578572.757678,1,1965 to 1969,3550404.0
65006,D005304, ,,1965,680200,1109,2, ,0,0,23701,357690.973255,567922.757678,1,1965 to 1969,3550404.0
65007,D006709, ,,1965,291300,2200,9, ,1,0,37409,351840.973255,576772.757678,1,1965 to 1969,3550404.0
65008,D006153, ,,1965,32100,1101,1, ,0,0,54680,356190.973255,587872.757678,1,1965 to 1969,3550404.0
65009,D006129, ,,1965,271900,1101,1, ,1,0,39514,353040.973255,578122.757678,1,1965 to 1969,3550404.0
65010,D008900, ,,1965,260500,1101,1, ,1,1,40656,349590.973255,578872.757678,1,1965 to 1969,3550404.0
65011,D009976, ,,1965,420800,2100,9, ,1,0,23720,360540.973255,567922.757678,1,1965 to 1969,3550404.0
65012,D010606, ,,1965,290400,1101,1, ,1,0,38574,351840.973255,577522.757678,1,1965 to 1969,3550404.0
65013,D010587, ,,1965,243300,1101,1, ,1,1,43259,355590.973255,580522.757678,1,1965 to 1969,3550404.0
65014,D011003, ,,1965,420200,1101,1, ,1,0,23960,361590.973255,568072.757678,1,1965 to 1969,3550404.0
65015,D012370, ,,1965,351300,1202,5, ,0,1,31866,359190.973255,573172.757678,1,1965 to 1969,3550404.0
65016,D013826, ,,1965,260800,2100,9, ,1,1,39732,350790.973255,578272.757678,1,1965 to 1969,3550404.0
65017,D013994, ,,1965,381800,1101,1, ,1,1,27674,359490.973255,570472.757678,1,1965 to 1969,3550404.0
65018,D014725, ,,1965,301200,1202,5, ,1,0,35321,353190.973255,575422.757678,1,1965 to 1969,3550404.0
65019,D019042, ,,1965,280400,1101,1, ,1,0,41857,354990.973255,579622.757678,1,1965 to 1969,3550404.0
65020,D019136, ,,1965,680200,1101,1, ,1,0,23936,357990.973255,568072.757678,1,1965 to 1969,3550404.0
65021,D019575, ,,1965,292200,2100,9, ,0,0,36705,351090.973255,576322.757678,1,1965 to 1969,3550404.0
65022,D020854, ,,1965,280200,2100,9, ,1,1,41166,356190.973255,579172.757678,1,1965 to 1969,3550404.0
65023,D021374, ,,1965,400400,2100,9, ,1,0,25343,359340.973255,568972.757678,1,1965 to 1969,3550404.0
65024,D021321, ,,1965,291400,1101,1, ,1,1,38344,352290.973255,577372.757678,1,1965 to 1969,3550404.0
65025,D022200, ,,1965,430400,1201,6, ,1,0,20002,362040.973255,565522.757678,1,1965 to 1969,3550404.0
65026,D023393, ,,1965,360300,1101,1, ,1,0,31875,360540.973255,573172.757678,1,1965 to 1969,3550404.0
