"GRID_ID","cluster","extended_cluster"
"A-2",2,2
"A-3",2,2
"A-4",2,2
"A-5",2,2
"A-6",2,2
"A-7",2,2
"AA-1",3,3
"AA-10",1,4
"AA-11",4,1
"AA-12",1,4
"AA-13",4,1
"AA-14",5,1
"AA-15",4,1
"AA-16",5,1
"AA-17",5,1
"AA-18",1,1
"AA-19",3,3
"AA-2",3,3
"AA-20",1,4
"AA-21",1,4
"AA-22",1,4
"AA-23",1,4
"AA-24",1,4
"AA-25",1,4
"AA-26",3,3
"AA-27",1,4
"AA-28",1,3
"AA-3",3,3
"AA-31",3,3
"AA-32",3,3
"AA-33",3,3
"AA-34",2,2
"AA-4",3,3
"AA-5",1,4
"AA-6",1,4
"AA-7",1,4
"AA-8",3,3
"AA-9",1,4
"AB-1",3,3
"AB-10",3,4
"AB-11",5,1
"AB-12",4,1
"AB-13",1,4
"AB-14",1,3
"AB-15",5,1
"AB-16",4,1
"AB-17",1,4
"AB-18",4,1
"AB-19",3,3
"AB-2",3,3
"AB-20",1,4
"AB-21",1,4
"AB-22",1,4
"AB-23",1,4
"AB-24",4,1
"AB-25",4,4
"AB-26",1,4
"AB-27",3,3
"AB-28",1,4
"AB-29",3,3
"AB-3",3,3
"AB-31",3,3
"AB-32",3,3
"AB-33",3,3
"AB-34",3,3
"AB-4",1,4
"AB-5",3,4
"AB-6",3,3
"AB-7",3,4
"AB-8",3,3
"AB-9",3,4
"AC-1",1,4
"AC-10",3,4
"AC-11",1,1
"AC-12",4,1
"AC-13",3,3
"AC-14",5,5
"AC-15",4,1
"AC-16",3,4
"AC-17",1,4
"AC-18",3,3
"AC-19",1,4
"AC-2",3,3
"AC-20",1,4
"AC-21",1,4
"AC-22",1,4
"AC-23",4,4
"AC-24",4,1
"AC-25",4,1
"AC-26",1,4
"AC-27",1,4
"AC-28",1,3
"AC-29",3,3
"AC-3",1,4
"AC-30",3,3
"AC-31",3,3
"AC-32",3,3
"AC-33",3,3
"AC-34",3,3
"AC-4",3,3
"AC-5",3,3
"AC-6",3,4
"AC-7",3,3
"AC-8",3,3
"AC-9",3,4
"AD-1",3,3
"AD-10",3,4
"AD-11",3,3
"AD-12",5,4
"AD-13",3,3
"AD-14",5,5
"AD-15",5,5
"AD-16",3,3
"AD-17",1,4
"AD-18",1,4
"AD-19",1,3
"AD-2",1,4
"AD-20",3,3
"AD-21",3,3
"AD-22",1,4
"AD-23",4,4
"AD-24",1,4
"AD-25",4,1
"AD-26",4,1
"AD-27",1,4
"AD-28",1,4
"AD-29",3,3
"AD-3",1,4
"AD-30",3,3
"AD-31",3,3
"AD-32",3,3
"AD-33",3,3
"AD-34",3,3
"AD-4",3,4
"AD-5",3,3
"AD-6",3,3
"AD-7",3,3
"AD-8",3,3
"AD-9",3,3
"AE-1",4,1
"AE-10",3,3
"AE-11",3,3
"AE-12",5,4
"AE-13",3,4
"AE-14",5,5
"AE-15",2,5
"AE-16",5,5
"AE-17",1,1
"AE-18",3,3
"AE-19",3,3
"AE-2",4,1
"AE-20",3,3
"AE-21",4,1
"AE-22",4,1
"AE-23",4,1
"AE-24",4,1
"AE-25",4,1
"AE-26",1,4
"AE-27",4,1
"AE-28",4,4
"AE-29",1,4
"AE-3",3,4
"AE-30",3,3
"AE-31",3,3
"AE-32",3,3
"AE-33",1,4
"AE-34",3,3
"AE-4",1,4
"AE-5",3,3
"AE-6",3,4
"AE-7",3,3
"AE-8",3,3
"AE-9",3,3
"AF-1",2,2
"AF-10",3,3
"AF-11",3,3
"AF-12",3,3
"AF-13",1,4
"AF-14",3,5
"AF-15",5,5
"AF-16",4,1
"AF-17",4,1
"AF-18",1,3
"AF-19",3,3
"AF-2",1,4
"AF-20",3,3
"AF-21",3,3
"AF-22",4,1
"AF-23",4,1
"AF-24",4,1
"AF-25",4,1
"AF-26",4,1
"AF-27",4,1
"AF-28",4,1
"AF-29",4,1
"AF-3",1,4
"AF-30",1,4
"AF-31",3,3
"AF-32",3,3
"AF-33",3,4
"AF-34",1,4
"AF-35",3,3
"AF-4",4,1
"AF-5",5,1
"AF-6",5,1
"AF-7",5,1
"AF-8",3,3
"AF-9",3,3
"AG-10",3,3
"AG-11",5,3
"AG-12",3,4
"AG-13",5,5
"AG-14",5,5
"AG-15",2,5
"AG-16",5,5
"AG-17",3,4
"AG-18",3,3
"AG-19",3,3
"AG-2",2,2
"AG-20",3,3
"AG-21",3,3
"AG-22",4,1
"AG-23",4,1
"AG-24",4,1
"AG-25",4,1
"AG-26",4,1
"AG-27",4,1
"AG-28",1,1
"AG-29",1,4
"AG-3",3,3
"AG-30",1,4
"AG-31",1,4
"AG-32",1,4
"AG-33",1,1
"AG-34",1,4
"AG-35",3,3
"AG-4",3,4
"AG-5",3,4
"AG-6",5,1
"AG-7",5,1
"AG-8",3,4
"AG-9",3,3
"AH-10",3,3
"AH-11",1,3
"AH-12",5,4
"AH-13",5,5
"AH-14",3,5
"AH-15",5,5
"AH-16",5,5
"AH-17",3,5
"AH-18",1,3
"AH-19",3,3
"AH-20",3,3
"AH-21",3,3
"AH-22",1,4
"AH-23",1,1
"AH-24",5,1
"AH-25",4,1
"AH-26",4,1
"AH-27",4,1
"AH-28",1,4
"AH-29",1,4
"AH-30",3,4
"AH-31",1,4
"AH-32",1,4
"AH-33",1,4
"AH-34",1,4
"AH-35",2,4
"AH-36",1,4
"AH-6",3,3
"AH-7",3,3
"AH-8",3,3
"AH-9",3,3
"AI-10",3,3
"AI-11",3,3
"AI-12",5,5
"AI-13",5,5
"AI-14",1,5
"AI-15",3,5
"AI-16",3,3
"AI-17",3,5
"AI-18",2,5
"AI-19",1,5
"AI-20",3,4
"AI-21",3,4
"AI-22",3,4
"AI-23",4,1
"AI-24",5,1
"AI-25",1,1
"AI-26",4,1
"AI-27",1,1
"AI-28",1,4
"AI-29",3,4
"AI-30",1,4
"AI-31",1,4
"AI-32",1,4
"AI-33",4,1
"AI-34",4,1
"AI-35",1,4
"AI-36",3,3
"AI-6",3,3
"AI-7",2,2
"AI-8",3,3
"AI-9",3,3
"AJ-11",3,3
"AJ-12",3,3
"AJ-13",3,3
"AJ-14",1,3
"AJ-15",3,5
"AJ-16",5,5
"AJ-17",2,5
"AJ-18",5,5
"AJ-19",5,5
"AJ-20",5,5
"AJ-21",5,5
"AJ-22",5,5
"AJ-23",5,1
"AJ-24",5,1
"AJ-25",1,1
"AJ-26",4,1
"AJ-27",1,1
"AJ-28",1,4
"AJ-29",1,4
"AJ-30",1,4
"AJ-31",4,1
"AJ-32",4,1
"AJ-33",4,1
"AJ-34",4,1
"AJ-35",1,4
"AJ-36",3,3
"AJ-37",2,2
"AK-11",2,2
"AK-12",2,2
"AK-13",3,3
"AK-14",3,3
"AK-15",3,3
"AK-16",3,3
"AK-17",3,3
"AK-18",5,5
"AK-19",5,5
"AK-20",5,5
"AK-21",5,5
"AK-22",5,5
"AK-23",5,1
"AK-24",4,1
"AK-25",4,1
"AK-26",1,4
"AK-27",1,1
"AK-28",1,4
"AK-29",3,4
"AK-30",1,4
"AK-31",1,4
"AK-32",1,1
"AK-33",4,1
"AK-34",1,4
"AK-35",3,4
"AK-36",1,4
"AK-37",3,3
"AL-13",2,2
"AL-14",3,3
"AL-16",2,2
"AL-17",2,2
"AL-18",2,2
"AL-19",3,3
"AL-20",5,5
"AL-21",5,5
"AL-22",5,4
"AL-23",3,3
"AL-24",3,4
"AL-25",1,1
"AL-26",1,4
"AL-27",4,1
"AL-28",4,1
"AL-29",4,4
"AL-30",1,4
"AL-31",1,4
"AL-32",1,4
"AL-33",1,4
"AL-34",2,4
"AL-35",3,3
"AL-36",1,4
"AL-37",3,4
"AM-13",2,2
"AM-19",2,3
"AM-20",5,4
"AM-21",5,4
"AM-22",3,4
"AM-23",3,3
"AM-24",5,1
"AM-25",3,4
"AM-26",4,1
"AM-27",4,1
"AM-28",3,4
"AM-29",1,4
"AM-30",1,4
"AM-31",3,3
"AM-32",3,3
"AM-33",3,3
"AM-34",3,3
"AM-35",3,3
