address,year,x,y,exact_date
144 Townsend St.,1904.000000000000000,-88.134440499999997,41.724355699999997, 
Liberty Hall,1902.000000000000000,-87.665550999999994,41.900658999999997, 
728 W. Monroe St.,1909.000000000000000,-87.675586999999993,41.880076000000003, 
6320 Madison (now Dorchester) Ave.,1909.000000000000000,-87.591815999999994,41.779826000000000, 
340 31st St.,1909.000000000000000,-87.627285999999998,41.838251999999997, 
Blackhawk & Ashland Ave.,1909.000000000000000,-87.667609999999996,41.906993000000000, 
370 N Marshfield Ave.,1909.000000000000000,-87.668530000000004,41.897893000000003, 
65 Rees St.,1909.000000000000000,-87.647636000000006,41.906377999999997, 
268 W. Randolph St.,1909.000000000000000,-87.651318000000003,41.884349999999998, 
3138 LaSalle St.,1909.000000000000000,-87.630268000000001,41.836989000000003, 
Humboldt Park,1909.000000000000000,-87.698834000000005,41.904071000000002, 
65 Rees St.,1909.000000000000000,-87.647661999999997,41.906376000000002, 
2725 State St.,1909.000000000000000,-87.626519000000002,41.843822000000003, 
3000 Dearborn St.,1909.000000000000000,-87.628518000000000,41.839323999999998, 
61st & Ada Streets,1909.000000000000000,-87.658259999999999,41.782980999999999, 
2818 Lowe Ave.,1909.000000000000000,-87.642903000000004,41.843120999999996, 
503 Madison,1909.000000000000000,-87.663043999999999,41.881489999999999, 
2208 Dearborn St.,1909.000000000000000,-87.628336000000004,41.852327000000002, 
5609 Prairie Ave.,1909.000000000000000,-87.618869000000004,41.792673999999998, 
200 W. Jackson Blvd.,1909.000000000000000,-87.648628000000002,41.877927999999997, 
690 Osgood St.,1909.000000000000000,-87.655116000000007,41.931266999999998, 
651 Holt Ave.,1909.000000000000000,-87.665115999999998,41.906664999999997, 
388 Harrison St.,1909.000000000000000,-87.653785999999997,41.874316000000000, 
Milwaukee & Ashland Ave.,1909.000000000000000,-87.667477000000005,41.903998000000001, 
3441 E. 95th St.,1909.000000000000000,-87.538256000000004,41.722974999999998, 
15 E. Taylor,1909.000000000000000,-87.628041999999994,41.869917000000001, 
49 and Wabash Ave.,1909.000000000000000,-87.624357000000003,41.805537999999999, 
Chicago Av. & Carpenter St.,1909.000000000000000,-87.653557000000006,41.896287999999998, 
453 W. 60th ST.,1909.000000000000000,-87.633686999999995,41.785271000000002, 
2849 S. Sawyer Ave.,1909.000000000000000,-87.705837000000002,41.840006000000002, 
1438 Wabash Ave.,1909.000000000000000,-87.625938000000005,41.863208999999998, 
856 W. 17th St.,1909.000000000000000,-87.674667999999997,41.858575999999999, 
123rd St. & Michigan Ave.,1909.000000000000000,-87.620226000000002,41.670636999999999, 
26th Place & Dearborn st.,1909.000000000000000,-87.628129999999999,41.845064999999998, 
3254 S. Morgan St.,1909.000000000000000,-87.651131000000007,41.831161000000002, 
8222 Campbell Ave.,1909.000000000000000,-87.685522000000006,41.743572999999998, 
5501 Wentworth Ave.,1909.000000000000000,-87.630340000000004,41.794052999999998, 
106 W. Polk St.,1909.000000000000000,-87.640504000000007,41.871977999999999, 
4459 Honore St.,1909.000000000000000,-87.670801999999995,41.812779999999997, 
