,GRID_ID,year,hom_ct,bldg_ct,hom_rt,geometry,last_wave_end,longest_gap,max_amp
279,AJ-21,1874,0.0,0.0,,"POLYGON ((-87.61869043688546 41.816242456408986, -87.62169439619049 41.81103944626875, -87.62770231480056 41.81103944626875, -87.63070627410559 41.816242456408986, -87.62770231480056 41.82144546654905, -87.62169439619049 41.82144546654905, -87.61869043688546 41.816242456408986))",2012.0,5.0,24
280,AK-21,1874,0.0,0.735286825720693,0.0,"POLYGON ((-87.60967855897036 41.81103944626875, -87.61268251827539 41.805836436128686, -87.61869043688546 41.805836436128686, -87.62169439619049 41.81103944626875, -87.61869043688546 41.816242456408986, -87.61268251827539 41.816242456408986, -87.60967855897036 41.81103944626875))",2017.0,0.0,23
310,AJ-19,1874,0.0,0.0,,"POLYGON ((-87.61869043688546 41.83705449696964, -87.62169439619049 41.83185148682958, -87.62770231480056 41.83185148682958, -87.63070627410559 41.83705449696964, -87.62770231480056 41.84225750710988, -87.62169439619049 41.84225750710988, -87.61869043688546 41.83705449696964))",1994.0,23.0,25
333,Z-17,1874,0.0,0.21050381975304,0.0,"POLYGON ((-87.70880921603629 41.85786653753041, -87.71181317534132 41.85266352739018, -87.71782109395139 41.85266352739018, -87.72082505325636 41.85786653753041, -87.71782109395139 41.86306954767065, -87.71181317534132 41.86306954767065, -87.70880921603629 41.85786653753041))",2017.0,0.0,23
368,X-15,1874,0.0,0.668947925142234,0.0,"POLYGON ((-87.72683297186643 41.87867857809118, -87.72983693117146 41.87347556795095, -87.73584484978153 41.87347556795095, -87.73884880908656 41.87867857809118, -87.73584484978153 41.88388158823125, -87.72983693117146 41.88388158823125, -87.72683297186643 41.87867857809118))",2017.0,0.0,20
638,AF-4,1874,0.0,0.745646572751469,0.0,"POLYGON ((-87.6547379485458 41.993144801175106, -87.65774190785083 41.98794179103487, -87.6637498264609 41.98794179103487, -87.66675378576588 41.993144801175106, -87.6637498264609 41.99834781131517, -87.65774190785083 41.99834781131517, -87.6547379485458 41.993144801175106))",2001.0,16.0,24
740,AM-24,1874,0.0,0.43595014311189,0.0,"POLYGON ((-87.59165480314022 41.77982138542768, -87.59465876244525 41.774618375287616, -87.60066668105532 41.774618375287616, -87.60367064036029 41.77982138542768, -87.60066668105532 41.785024395567916, -87.59465876244525 41.785024395567916, -87.59165480314022 41.77982138542768))",2013.0,4.0,20
1100,AJ-21,1875,0.0,0.0,,"POLYGON ((-87.61869043688546 41.816242456408986, -87.62169439619049 41.81103944626875, -87.62770231480056 41.81103944626875, -87.63070627410559 41.816242456408986, -87.62770231480056 41.82144546654905, -87.62169439619049 41.82144546654905, -87.61869043688546 41.816242456408986))",2012.0,5.0,24
1101,AK-21,1875,0.0,0.773578626438409,0.0,"POLYGON ((-87.60967855897036 41.81103944626875, -87.61268251827539 41.805836436128686, -87.61869043688546 41.805836436128686, -87.62169439619049 41.81103944626875, -87.61869043688546 41.816242456408986, -87.61268251827539 41.816242456408986, -87.60967855897036 41.81103944626875))",2017.0,0.0,23
1131,AJ-19,1875,0.0,0.0,,"POLYGON ((-87.61869043688546 41.83705449696964, -87.62169439619049 41.83185148682958, -87.62770231480056 41.83185148682958, -87.63070627410559 41.83705449696964, -87.62770231480056 41.84225750710988, -87.62169439619049 41.84225750710988, -87.61869043688546 41.83705449696964))",1994.0,23.0,25
1154,Z-17,1875,0.0,0.2631297746913,0.0,"POLYGON ((-87.70880921603629 41.85786653753041, -87.71181317534132 41.85266352739018, -87.71782109395139 41.85266352739018, -87.72082505325636 41.85786653753041, -87.71782109395139 41.86306954767065, -87.71181317534132 41.86306954767065, -87.70880921603629 41.85786653753041))",2017.0,0.0,23
1189,X-15,1875,0.0,0.836184906427793,0.0,"POLYGON ((-87.72683297186643 41.87867857809118, -87.72983693117146 41.87347556795095, -87.73584484978153 41.87347556795095, -87.73884880908656 41.87867857809118, -87.73584484978153 41.88388158823125, -87.72983693117146 41.88388158823125, -87.72683297186643 41.87867857809118))",2017.0,0.0,20
1459,AF-4,1875,0.0,0.932058215939337,0.0,"POLYGON ((-87.6547379485458 41.993144801175106, -87.65774190785083 41.98794179103487, -87.6637498264609 41.98794179103487, -87.66675378576588 41.993144801175106, -87.6637498264609 41.99834781131517, -87.65774190785083 41.99834781131517, -87.6547379485458 41.993144801175106))",2001.0,16.0,24
1561,AM-24,1875,0.0,0.544937678889863,0.0,"POLYGON ((-87.59165480314022 41.77982138542768, -87.59465876244525 41.774618375287616, -87.60066668105532 41.774618375287616, -87.60367064036029 41.77982138542768, -87.60066668105532 41.785024395567916, -87.59465876244525 41.785024395567916, -87.59165480314022 41.77982138542768))",2013.0,4.0,20
1921,AJ-21,1876,0.0,0.148091026196053,0.0,"POLYGON ((-87.61869043688546 41.816242456408986, -87.62169439619049 41.81103944626875, -87.62770231480056 41.81103944626875, -87.63070627410559 41.816242456408986, -87.62770231480056 41.82144546654905, -87.62169439619049 41.82144546654905, -87.61869043688546 41.816242456408986))",2012.0,5.0,24
1922,AK-21,1876,0.0,3.398210387737155,0.0,"POLYGON ((-87.60967855897036 41.81103944626875, -87.61268251827539 41.805836436128686, -87.61869043688546 41.805836436128686, -87.62169439619049 41.81103944626875, -87.61869043688546 41.816242456408986, -87.61268251827539 41.816242456408986, -87.60967855897036 41.81103944626875))",2017.0,0.0,23
1952,AJ-19,1876,0.0,0.659218002201496,0.0,"POLYGON ((-87.61869043688546 41.83705449696964, -87.62169439619049 41.83185148682958, -87.62770231480056 41.83185148682958, -87.63070627410559 41.83705449696964, -87.62770231480056 41.84225750710988, -87.62169439619049 41.84225750710988, -87.61869043688546 41.83705449696964))",1994.0,23.0,25
