,GRID_ID,year,hom_ct,bldg_ct,hom_rt,geometry,last_wave_end,longest_gap
232,X-23,1874,0.0,0.8,0.0,"POLYGON ((-87.72683297186643 41.795430415848216, -87.72983693117146 41.79022740570815, -87.73584484978153 41.79022740570815, -87.73884880908656 41.795430415848216, -87.73584484978153 41.80063342598845, -87.72983693117146 41.80063342598845, -87.72683297186643 41.795430415848216))",1930.0,87.0
275,AF-21,1874,0.0,0.0,,"POLYGON ((-87.6547379485458 41.816242456408986, -87.65774190785083 41.81103944626875, -87.6637498264609 41.81103944626875, -87.66675378576588 41.816242456408986, -87.6637498264609 41.82144546654905, -87.65774190785083 41.82144546654905, -87.6547379485458 41.816242456408986))",1931.0,86.0
276,AG-21,1874,0.0,3.054315200426232,0.0,"POLYGON ((-87.6457260706307 41.81103944626875, -87.64873002993573 41.805836436128686, -87.6547379485458 41.805836436128686, -87.65774190785083 41.81103944626875, -87.6547379485458 41.816242456408986, -87.64873002993573 41.816242456408986, -87.6457260706307 41.81103944626875))",1900.0,117.0
325,AH-18,1874,0.0,31.154760738584454,0.0,"POLYGON ((-87.63671419271566 41.84746051725011, -87.63971815202063 41.84225750710988, -87.6457260706307 41.84225750710988, -87.64873002993573 41.84746051725011, -87.6457260706307 41.85266352739018, -87.63971815202063 41.85266352739018, -87.63671419271566 41.84746051725011))",1931.0,86.0
379,AI-15,1874,0.0,0.001926084794912,0.0,"POLYGON ((-87.62770231480056 41.87347556795095, -87.63070627410559 41.86827255781071, -87.63671419271566 41.86827255781071, -87.63971815202063 41.87347556795095, -87.63671419271566 41.87867857809118, -87.63070627410559 41.87867857809118, -87.62770231480056 41.87347556795095))",1930.0,87.0
397,AH-14,1874,1.0,4.987860974119093,0.200486742751809,"POLYGON ((-87.63671419271566 41.88908459837148, -87.63971815202063 41.88388158823125, -87.6457260706307 41.88388158823125, -87.64873002993573 41.88908459837148, -87.6457260706307 41.89428760851155, -87.63971815202063 41.89428760851155, -87.63671419271566 41.88908459837148))",1901.0,116.0
434,AF-12,1874,0.0,2.769130025077077,0.0,"POLYGON ((-87.6547379485458 41.90989663893214, -87.65774190785083 41.904693628792074, -87.6637498264609 41.904693628792074, -87.66675378576588 41.90989663893214, -87.6637498264609 41.915099649072374, -87.65774190785083 41.915099649072374, -87.6547379485458 41.90989663893214))",1908.0,109.0
442,S-11,1874,0.0,0.444662375529355,0.0,"POLYGON ((-87.77189236144187 41.915099649072374, -87.77489632074685 41.90989663893214, -87.78090423935691 41.90989663893214, -87.78390819866195 41.915099649072374, -87.78090423935691 41.92030265921261, -87.77489632074685 41.92030265921261, -87.77189236144187 41.915099649072374))",1930.0,87.0
470,AB-10,1874,0.0,5.70300512730439,0.0,"POLYGON ((-87.69078546020614 41.93070867949291, -87.69378941951112 41.925505669352674, -87.69979733812119 41.925505669352674, -87.70280129742622 41.93070867949291, -87.69979733812119 41.935911689633144, -87.69378941951112 41.935911689633144, -87.69078546020614 41.93070867949291))",1955.0,62.0
517,V-8,1874,0.0,0.0,,"POLYGON ((-87.74485672769663 41.95152072005351, -87.7478606870016 41.946317709913444, -87.75386860561167 41.946317709913444, -87.7568725649167 41.95152072005351, -87.75386860561167 41.956723730193744, -87.7478606870016 41.956723730193744, -87.74485672769663 41.95152072005351))",1931.0,86.0
751,AM-23,1874,0.0,0.0,,"POLYGON ((-87.59165480314022 41.79022740570815, -87.59465876244525 41.785024395567916, -87.60066668105532 41.785024395567916, -87.60367064036029 41.79022740570815, -87.60066668105532 41.795430415848216, -87.59465876244525 41.795430415848216, -87.59165480314022 41.79022740570815))",1930.0,87.0
753,AO-23,1874,0.0,0.0,,"POLYGON ((-87.57363104731007 41.79022740570815, -87.57663500661505 41.785024395567916, -87.58264292522512 41.785024395567916, -87.58564688453015 41.79022740570815, -87.58264292522512 41.795430415848216, -87.57663500661505 41.795430415848216, -87.57363104731007 41.79022740570815))",1922.0,95.0
1053,X-23,1875,0.0,1.0,0.0,"POLYGON ((-87.72683297186643 41.795430415848216, -87.72983693117146 41.79022740570815, -87.73584484978153 41.79022740570815, -87.73884880908656 41.795430415848216, -87.73584484978153 41.80063342598845, -87.72983693117146 41.80063342598845, -87.72683297186643 41.795430415848216))",1930.0,87.0
1096,AF-21,1875,0.0,0.0,,"POLYGON ((-87.6547379485458 41.816242456408986, -87.65774190785083 41.81103944626875, -87.6637498264609 41.81103944626875, -87.66675378576588 41.816242456408986, -87.6637498264609 41.82144546654905, -87.65774190785083 41.82144546654905, -87.6547379485458 41.816242456408986))",1931.0,86.0
