,GRID_ID,wave_group,wave_lifespan,wave_amplitude,wave_start_year,wave_decade,wave_end_year,max_amp,min_amp
0,AA-10,1,1,3,1928,1920,1929,6,3
1,AA-10,2,1,5,1975,1970,1976,6,3
2,AA-10,3,2,5,1980,1980,1982,6,3
3,AA-10,4,2,4,1984,1980,1986,6,3
4,AA-10,5,5,6,1989,1980,1994,6,3
5,AA-10,6,1,3,1995,1990,1996,6,3
6,AA-10,7,1,3,1997,1990,1998,6,3
7,AA-10,8,2,3,2001,2000,2003,6,3
8,AA-11,9,1,3,1967,1960,1968,9,3
9,AA-11,10,1,5,1974,1970,1975,9,3
10,AA-11,11,16,9,1976,1970,1992,9,3
11,AA-11,12,1,8,1993,1990,1994,9,3
12,AA-11,13,1,3,1995,1990,1996,9,3
13,AA-11,14,3,6,1998,1990,2001,9,3
14,AA-11,15,1,4,2003,2000,2004,9,3
15,AA-11,16,1,3,2005,2000,2006,9,3
16,AA-12,17,1,3,1970,1970,1971,7,3
17,AA-12,18,2,4,1973,1970,1975,7,3
18,AA-12,19,1,4,1979,1970,1980,7,3
19,AA-12,20,1,7,1981,1980,1982,7,3
20,AA-12,21,1,4,1991,1990,1992,7,3
21,AA-12,22,1,3,1997,1990,1998,7,3
22,AA-12,23,1,3,2009,2000,2010,7,3
23,AA-13,24,1,4,1971,1970,1972,6,3
24,AA-13,25,2,3,1977,1970,1979,6,3
25,AA-13,26,1,4,1980,1980,1981,6,3
26,AA-13,27,1,3,1984,1980,1985,6,3
27,AA-13,28,4,6,1987,1980,1991,6,3
28,AA-13,29,2,4,1993,1990,1995,6,3
29,AA-13,30,2,6,1996,1990,1998,6,3
30,AA-13,31,4,4,1999,1990,2003,6,3
31,AA-13,32,1,3,2014,2010,2015,6,3
32,AA-14,33,2,5,1929,1920,1931,14,4
33,AA-14,34,8,9,1955,1950,1963,14,4
34,AA-14,35,9,13,1964,1960,1973,14,4
35,AA-14,36,5,14,1974,1970,1979,14,4
36,AA-14,37,10,9,1980,1980,1990,14,4
37,AA-14,38,8,12,1992,1990,2000,14,4
38,AA-14,39,1,4,2003,2000,2004,14,4
39,AA-14,40,1,4,2007,2000,2008,14,4
40,AA-14,41,1,5,2010,2010,2011,14,4
41,AA-14,42,2,6,2015,2010,2017,14,4
42,AA-15,43,1,3,1922,1920,1923,11,3
43,AA-15,44,2,3,1928,1920,1930,11,3
44,AA-15,45,1,3,1941,1940,1942,11,3
45,AA-15,46,1,3,1943,1940,1944,11,3
